"ID Riesgo - prefix","ID Riesgo - number","ID Riesgo","ID Site - prefix","ID Site - number","ID Site",Estado,Autor,"Ultimo cambio","Fecha de CreaciÃ³n",Priorizado,"Fecha SoluciÃ³n Riesgo","Motivo del Riesgo","Criticidad del Riesgo","Fecha Necesidad","Impacto del Punto","Gravedad del Riesgo",Descripcion,"ID Legacy"
RM,110,RM-110,SPA-BX,39,SPA-BX00039,Abierto,"Delgado Alejandro","2023-12-05 15:41:00",2023-01-23,,,,"criticidad muy alta < 3 meses",2023-10-26,,2,"La comunidad tiene reclamaciones pendientes por daÃ±os derivados de actuaciones de Orange, como un compresor estropeado que desenganchÃ³. Hay un montÃ³n de material obsoleto de Orange en la cubierta que no se ha retirado. Quieren la retirada de los equipos actualmente instalados en el sÃ³tano de la finca y su traslado a la cubirta del edficio para evitar ruidos y vibraciones",230287
RM,10042,RM-10042,SPA-BX,952,SPA-BX00952,Abierto,"Alexandre GOMBA","2023-12-05 15:41:35",2023-09-24,,,,"criticidad alta < 6 meses",2024-04-04,,1,"La propiedad ha enviado burofax para rescindir y bloquea trabajos",235441
RM,732,RM-732,SPA-MX,1604,SPA-MX01604,Cerrado,"Delgado Alejandro","2023-12-05 15:39:24",2021-09-06,,2021-11-11,,"criticidad muy alta < 3 meses",2021-12-01,2.0,,"W35: Se crea el Job para hacer una auditorÃ­a y posterior dimensionamiento de este site multioperador, se necesita una visita para el miÃ©rcoles 08/09/2021.",209714
RM,1032,RM-1032,SPA-VA,2240,SPA-VA02240,Abierto,"Delgado Alejandro","2023-12-05 15:24:30",2023-03-26,,,,"criticidad media < 9 meses",2024-08-06,,1,"LA PROPIEDAD DENUNCIA EN TIEMPO Y PLAZO",231831
RM,1372,RM-1372,SPA-BX,2500,SPA-BX02500,Cerrado,"Delgado Alejandro","2023-12-05 15:40:55",2020-04-23,,2020-05-27,,"criticidad baja > 9 meses",2030-07-30,,,"2020 W17 Se asigna esta RNg OBL por VTO con vencimiento 30/07/2020. Pendiente de confirmar el motivo de la apertura.",130504
RM,1629,RM-1629,SPA-NA,118,SPA-NA00118,Cerrado,"Delgado Alejandro","2023-12-05 15:41:17",2020-01-17,,2020-02-20,,"criticidad muy alta < 3 meses",2020-03-18,,,"La propiedad nos obliga a retirar las antenas de azotea para  reparar la cubierta.",113523
RM,1637,RM-1637,SPA-OR,9,SPA-OR00009,Cerrado,"Delgado Alejandro","2023-12-05 15:42:58",2018-10-26,,2022-06-13,,"criticidad muy alta < 3 meses",2022-06-20,,,,48191
RM,856,RM-856,SPA-SE,182,SPA-SE00182,Cerrado,"Delgado Alejandro","2023-12-05 15:24:28",2023-01-14,,2023-09-29,,"criticidad muy alta < 3 meses",2023-10-23,,1,"El 11/01/2023 la propiedad nos notifica (escalado por Patricl): Estimados Sres., por medio del presente, nos ponemos en contacto con ustedes, en nombre de la Comunidad de Propietarios InÃ©s Rosales, 1 de Castilleja de la Cuesta (Sevilla) en la que se encuentra emplazada una antena  de telecomunicaciÃ³n de vuestra propiedad , y con respecto a la misma queremos poner en su conocimiento que debido a las inminentes obras que se van a acometer en la referida comunidad para la instalaciÃ³n de un ascensor, necesitarÃ­amos que se modifique la ubicaciÃ³n de las mismas, ya que se instalaron justo encima de un castillete en la azotea el cual tiene que ser demolido por ser el lugar por donde transcurrirÃ¡ el referido ascensor.",230068
RM,1036,RM-1036,SPA-VA,2147,SPA-VA02147,Cerrado,"Delgado Alejandro","2023-12-05 15:24:40",2022-11-21,,2023-03-15,,"criticidad baja > 9 meses",2024-09-30,,,"Enviaron burofax en 2019, pensando que finalizaba ese aÃ±o. Finaliza en sept-24 y quieren confirmar que quieren rescindir a la fecha de vencimiento",229134
RM,570,RM-570,SPA-LX,9463,SPA-LX09463,Abierto,"Delgado Alejandro","2023-12-05 15:27:24",2022-03-03,,,,"criticidad baja > 9 meses",2026-01-12,,2,"03/03: Telecom IbÃ©rica les va a pagar 10.000â¬ al aÃ±o durante 8 aÃ±os. haciendo un total de 80.000â¬. Nuestro contrato con la propiedad vence el 12/01/2026 y hay que buscar una alternativa para replegarse.",223053
